"FID" "IID" "SOL" "C1" "C2" "C3" "C4" "HYPER" "SEX" "NALT" "NMIN" "NHET" "NVAR" "RATE" "SING" "TITV" "PASS" "PASS_S" "QUAL" "DP" "REF.dbsnp" "G.DP" "NRG.DP"
"122" "AT0673" "." 0 0.175505 0.0067025 0.00859473 -0.113685 1 2 86 63 43 830 0.963995 0 1.86364 50 0 712092 48627.1 0.936508 40.4796 67.0814
"123" "AT0676" "." 0 -0.0323742 0.138218 0.010992 -0.0259536 2 2 83 56 46 852 0.989547 0 1.8 43 0 742402 48646.1 0.964286 44.3205 77.8313
"124" "AT0677" "." 0 0.0875883 0.237177 0.146628 0.0905422 1 1 85 65 36 854 0.99187 0 1.95455 49 0 746360 49186.6 0.953846 51.6077 105.847
"125" "AT0679" "." 0 -0.00576883 0.0334029 0.0273485 -0.0962271 2 1 68 32 26 831 0.965157 0 1.28571 25 0 638051 47793.1 0.90625 42.0632 75.5441
"126" "AT0682" "." 0 -0.0981459 -0.220387 0.0499402 0.130976 2 1 83 53 39 855 0.993031 0 4.3 42 0 504840 39645.4 0.962264 47.1222 90.5904
"127" "AT0683" "." 0 -0.0375339 0.0815511 0.0935531 0.103025 1 2 92 55 53 838 0.973287 0 2.05556 46 0 675357 49230.5 0.927273 51.0431 97.3043
"128" "AT0685" "." 0 0.0113594 -0.000717482 0.105375 0.106925 1 2 90 58 54 829 0.962834 0 2.22222 47 0 746947 51735.5 0.896552 45.1746 82.2667
"129" "AT0690" "." 0 -0.0601816 -0.0929424 -0.170646 0.111611 1 1 82 44 39 832 0.966318 0 2.14286 37 0 641048 48646.8 0.909091 43.4825 81.1829
"130" "AT0692" "." 0 0.0094973 0.0911162 -0.0254521 0.0655787 1 1 76 37 30 830 0.963995 0 3.11111 32 0 731904 52094 0.945946 39.4429 65.4342
"131" "AT0695" "." 0 0.0309656 0.0691049 -0.101971 0.0423821 1 2 76 45 41 836 0.970964 0 1.8125 37 0 898981 53874.2 0.866667 39.1409 63.3158
"132" "AT0696" "." 0 0.0227364 0.116126 -0.0839223 -0.0732787 1 1 66 36 26 828 0.961672 0 1.25 32 0 923934 54028.2 0.972222 45.3536 92.6515
"133" "AT0697" "." 0 0.207468 0.00381866 -0.0447213 0.0316555 1 2 89 66 46 850 0.987224 0 1.64 50 0 679583 47985.6 0.924242 35.1026 50.7191
"134" "AT0699" "." 0 0.0661387 -0.0792922 -0.0333344 -0.086678 1 1 85 52 48 836 0.970964 0 1.26087 43 0 646873 48979.1 0.865385 44.9182 79.5529
"135" "AT0705" "." 0 -0.150456 -0.0739998 0.0634549 0.132013 2 1 80 43 39 832 0.966318 0 2.58333 33 0 721254 53565.5 0.790698 48.4965 97.625
"136" "AT0706" "." 0 0.167022 -0.00310929 -0.00723795 -0.131583 2 1 86 65 39 851 0.988386 0 1.82609 49 0 731166 47765.8 0.876923 39.4028 61.6047
"137" "AT0707" "." 0 -0.00975677 -0.119258 -0.076376 -0.0774394 2 1 87 52 47 839 0.974448 0 1.55 40 0 620435 49184.5 0.865385 46.597 91.3678
"138" "AT0709" "." 0 0.106828 -0.0322106 -0.123008 0.0518753 1 1 87 57 51 834 0.968641 0 2 52 0 729322 51818.6 0.912281 45.3858 83.046
"139" "AT0710" "." 0 0.006001 0.0894628 0.00211435 0.0882825 1 1 91 58 51 836 0.970964 0 1.32 49 0 803501 52967.4 0.931034 47.2689 82.6813
"140" "AT0720" "." 0 -0.203078 0.0385265 0.0647059 -0.0331915 1 2 61 26 24 832 0.966318 0 1.36364 21 0 929640 53619 0.923077 46.5793 95.0328
"141" "AT0722" "." 0 0.0527331 0.202525 0.166321 -0.0733133 1 2 77 51 26 852 0.989547 0 1.83333 35 0 738642 46597 0.901961 43.7395 74.1039
"142" "AT0723" "." 0 -0.111714 -0.035306 -0.117662 -0.0903137 1 2 60 22 22 829 0.962834 0 0.833333 18 0 766044 48686.9 0.863636 39.6962 70.65
"143" "AT0724" "." 0 -0.0755397 0.141247 0.168557 -0.033702 1 1 76 53 24 849 0.986063 0 1.78947 36 0 664536 45823.4 0.886792 47.3652 92.2763
"144" "AT0726" "." 0 -0.0750186 0.110187 0.11548 -0.0404643 1 2 75 39 34 837 0.972125 0 2.25 32 0 815090 54653.8 0.897436 50.8147 107.48
"145" "AT0734" "." 0 -0.0642983 0.117611 0.127096 0.136813 1 1 83 53 45 829 0.962834 0 2.3125 45 0 705629 50464.5 0.943396 40.4487 69.4819
"146" "AT0735" "." 0 0.0377998 0.209468 0.169611 -0.0798991 1 1 78 52 31 838 0.973287 0 1.88889 40 0 733979 50163.3 0.826923 48.2191 94.0641
"147" "AT0737" "." 0 0.139328 0.184136 -0.15162 0.0350401 1 2 78 53 30 839 0.974448 0 1.94444 41 0 753586 52074.2 0.886792 43.1187 74.6795
"148" "AT0747" "." 0 -0.0181162 0.13072 0.000739969 -0.0770252 1 2 71 33 23 838 0.973287 0 1.53846 27 0 712975 49334.8 0.909091 41.4692 69.3521
"149" "AT0749" "." 0 -0.164485 0.00799113 -0.0348058 -0.0823485 1 2 70 31 26 830 0.963995 0 1.58333 23 0 525173 45616.4 0.870968 41.4138 72.8
"150" "AT0751" "." 0 0.140493 -0.0258565 0.188274 0.0799859 1 2 88 58 40 838 0.973287 0 2.05263 49 0 660091 49756.1 0.913793 47.2608 85.8182
"151" "AT0758" "." 0 0.0261988 -0.0207437 0.0346979 -0.0607563 1 2 84 48 42 835 0.969803 0 1.82353 38 0 615672 45985.2 0.9375 50.6853 101.631
